Symbol  ,Date,Expiry,Option type  ,Strike Price,Open  ,High  ,Low  ,Close  ,LTP,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value
NIFTY,11-May-23,28-Dec-23,CE,18000,1194.95,1210,1164.8,1185.35,1197,1185.35,1369,13133.23,812.23,884025,18450,18297
NIFTY,12-May-23,28-Dec-23,CE,18000,1150.05,1199.65,1110,1176.05,1175.3,1176.05,1602,15356.3,938.3,930875,46850,18314.8
NIFTY,15-May-23,28-Dec-23,CE,18000,1176,1300.65,1176,1265.45,1252,1265.45,3646,35095.18,2281.18,1044525,113650,-
NIFTY,16-May-23,28-Dec-23,CE,18000,1275,1280.25,1185,1198.5,1198.3,1198.5,870,8368.42,538.42,1055075,10550,18286.5
NIFTY,17-May-23,28-Dec-23,CE,18000,1184.55,1193.95,1085.15,1114.6,1120.55,1114.6,1031,9861.01,582.01,1053425,-1650,18181.75
NIFTY,18-May-23,28-Dec-23,CE,18000,1154.2,1175,1072.55,1091.05,1092,1091.05,2205,21059.42,1214.42,1130625,77200,18129.95
NIFTY,19-May-23,28-Dec-23,CE,18000,1090.6,1136.4,1040,1124.1,1131.4,1124.1,755,7204.84,409.84,1138225,7600,18203.4
NIFTY,22-May-23,28-Dec-23,CE,18000,1106,1245.5,1100,1232.8,1227.95,1232.8,1455,13975.32,880.32,1177525,39300,18314.4
NIFTY,23-May-23,28-Dec-23,CE,18000,1264.15,1317.45,1256,1281.5,1273.1,1281.5,2925,28216.75,1891.75,1280025,102500,18348
NIFTY,24-May-23,28-Dec-23,CE,18000,1222.25,1297.7,1211,1226.75,1233.6,1226.75,939,9042.11,591.11,1294425,14400,18285.4
NIFTY,25-May-23,28-Dec-23,CE,18000,1210.05,1265,1178.35,1256.55,1258.3,1256.55,854,8207.35,521.35,1309275,14850,18321.15
NIFTY,26-May-23,28-Dec-23,CE,18000,1260.05,1331.35,1248.8,1320.45,1318,1320.45,5156,49754.46,3350.46,1342175,32900,18499.35
NIFTY,29-May-23,28-Dec-23,CE,18000,1370,1423.65,1361.1,1406.15,1407.3,1406.15,1777,17237.98,1244.98,1385625,43450,18598.65
NIFTY,30-May-23,28-Dec-23,CE,18000,1400,1468.7,1400,1442.5,1443,1442.5,801,7783.74,574.74,1393925,8300,18633.85
NIFTY,31-May-23,28-Dec-23,CE,18000,1395.9,1418.2,1349.05,1400.1,1397,1400.1,888,8608.27,616.27,1426525,32600,18534.4
NIFTY,01-Jun-23,28-Dec-23,CE,18000,1397,1420.7,1344.75,1355.55,1350,1355.55,548,5314.01,382.01,1436925,10400,18487.75
NIFTY,02-Jun-23,28-Dec-23,CE,18000,1407.95,1419,1345,1387.05,1384.25,1387.05,347,3362.85,239.85,1439425,2500,18534.1
NIFTY,05-Jun-23,28-Dec-23,CE,18000,1432.6,1457.15,1420,1436.7,1434,1436.7,565,5493.25,408.25,1455525,16100,18593.85
NIFTY,06-Jun-23,28-Dec-23,CE,18000,1436.8,1440,1370,1414.15,1410,1414.15,364,3530.86,254.86,1454625,-900,18599
NIFTY,07-Jun-23,28-Dec-23,CE,18000,1440,1520,1438.35,1510.35,1515.75,1510.35,2089,20349.05,1548.05,1523525,68900,18726.4
NIFTY,08-Jun-23,28-Dec-23,CE,18000,1512,1545,1441,1449.3,1457,1449.3,654,6378.06,492.06,1516775,-6750,18634.55
NIFTY,09-Jun-23,28-Dec-23,CE,18000,1460,1486.15,1382.35,1393.3,1385.2,1393.3,3579,34732.85,2521.85,1458175,-58600,18563.4
NIFTY,12-Jun-23,28-Dec-23,CE,18000,1394.15,1458.75,1382.95,1437.7,1446.1,1437.7,2845,27637.86,2032.86,1550675,92500,18601.5
NIFTY,13-Jun-23,28-Dec-23,CE,18000,1465.2,1517.45,1465.2,1505.55,1517,1505.55,2611,25457.76,1958.76,1551825,1150,18716.15
NIFTY,14-Jun-23,28-Dec-23,CE,18000,1526.85,1549.95,1497.45,1537.95,1536.8,1537.95,2937,28676.04,2243.04,1513275,-38550,18755.9
NIFTY,15-Jun-23,28-Dec-23,CE,18000,1530,1579.15,1486.5,1497.7,1495.1,1497.7,1691,16508.57,1289.57,1510875,-2400,18688.1
